trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.3890684448772363}",25,7,-12.878886491148524,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3859683143742421}",30,0,37.913408967378736,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,0,-0.9270157325447403,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.3798419628513787}",20,9,-16.386921455900822,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.37681534974292086}",20,9,-3.677739504700028,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.3738128529454665}",20,0,-5.840587736053616,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.37083428029819565}",20,0,-21.564251520998646,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-71.07892944123337,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.36494814645449375}",20,11,-5.33448438430815,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36204020854348745}",20,4,-45.28805038292948,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.3591554413294046}",30,18,-21.47986190753177,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.3562936601861588}",30,0,-16.776880716428966,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,0,-88.1867569474641,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.35063832495169295}",20,10,-14.09801307447669,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3478444089170874}",20,14,13.861062555207987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.34507275504338375}",20,13,-23.150920769132554,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.34232318594378797}",25,8,0.7235099225809145,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,2,-38.76594663010425,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.33688959957564707}",30,8,-8.042939308118841,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.33420523455571977}",20,11,-50.868339568181696,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3315422587848797}",25,5,-37.264538535163986,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3289005018317685}",30,16,-26.924539392534705,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,15,-23.538771726487067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
